segment_id,track_id,original_audio_id,label,score,run_id,trial_id,split,model,segment_threshold,track_threshold
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.0033879762049764395,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.010614540427923203,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.010146891698241234,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000039,sample_00013,Agora - Malaventura,0,0.004473811015486717,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000040,sample_00013,Agora - Malaventura,0,0.007467301096767187,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000041,sample_00013,Agora - Malaventura,0,0.012928142212331295,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,0.00016718324332032353,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,0.0018859043484553695,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,0.007777625694870949,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000129,sample_00043,CopperNickle - UncleBibby,0,2.5097333491430618e-05,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000130,sample_00043,CopperNickle - UncleBibby,0,0.00015274765610229224,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000131,sample_00043,CopperNickle - UncleBibby,0,2.5264756914111786e-05,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,0.0005245630745775998,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,0.0012257950147613883,cnn_revised_20260919T110440Z,cnn_s2_14,val,Log-Mel CNN,0.04809333011507988,0.07409321051090956
