run_id,holdout_generator,model,candidate_order,C,gamma,layer,train_segments,val_segments,val_segment_auc,val_segment_eer,track_roc_auc,track_eer,val_track_macro_f1,fit_seconds,val_inference_seconds,warnings
unseen_classical_mert_20260919T171142Z,musicgen,LogisticRegression,0,0.01,,,6352,1409,0.9206592154908522,0.1628817541111981,0.9672004132231404,0.09090909090909091,0.7965142944503898,0.21956291690003127,0.001382665941491723,[]
unseen_classical_mert_20260919T171142Z,musicgen,LogisticRegression,1,0.1,,,6352,1409,0.9245449799482688,0.1456538762725137,0.9683367768595041,0.1045454545454545,0.7719322560079829,0.5092246250715107,0.0015350000467151403,[]
unseen_classical_mert_20260919T171142Z,musicgen,LogisticRegression,2,1.0,,,6352,1409,0.922290643316485,0.14408770555990602,0.9674070247933884,0.11363636363636365,0.76029895097024,1.2028501250315458,0.001227749977260828,[]
unseen_classical_mert_20260919T171142Z,musicgen,LogisticRegression,3,10.0,,,6352,1409,0.9202142806293158,0.14393939393939395,0.9651342975206612,0.11363636363636365,0.76029895097024,1.260100582963787,0.0023574589285999537,[]
unseen_classical_mert_20260919T171142Z,musicgen,LogisticRegression,4,100.0,,,6352,1409,0.9195439121046012,0.14393939393939395,0.9645144628099173,0.11363636363636363,0.76029895097024,1.2304825000464916,0.0012486249906942248,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,0,0.1,scale,,6352,1409,0.9098799269120333,0.17854346123727483,0.9605371900826447,0.11363636363636363,0.76029895097024,1.3606004999019206,0.4542357079917565,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,1,0.1,0.001,,6352,1409,0.902624522436582,0.18480814408770552,0.9523760330578513,0.09772727272727277,0.7870177048320803,1.3897116660373285,0.4841933749848977,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,2,0.1,0.01,,6352,1409,0.8598277212216132,0.2380579483163665,0.8925619834710744,0.24318181818181817,0.6040927240461402,1.544310792000033,0.5429261670215055,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,3,0.1,0.1,,6352,1409,0.8652915213212785,0.20454545454545456,0.8944473140495868,0.17272727272727273,0.6790450928381964,1.7561648749979213,0.6883552089566365,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,4,1.0,scale,,6352,1409,0.9425500106784367,0.14173844949099457,0.981404958677686,0.06818181818181818,0.8371782455782659,0.7192416249308735,0.2657310829963535,[]
unseen_classical_mert_20260919T171142Z,musicgen,RBF-SVM,5,1.0,0.001,,6352,1409,0.9264315037611828,0.16131558339859042,0.971797520661157,0.0840909090909091,0.8063754427390791,0.8382970420643687,0.2890847089001909,[]
