candidate_order,layer,C,track_eer,track_roc_auc,val_segment_roc_auc,val_segment_eer,val_track_roc_auc,val_track_eer,val_track_macro_f1,fit_sec,convergence_warnings,run_id
0,0,0.01,0.13043478260869568,0.941699604743083,0.9146945989051253,0.170697012802276,0.941699604743083,0.13043478260869568,0.7241151701377034,0.26905716594774276,,mert_binary_20260919T110741Z
1,0,0.1,0.13636363636363635,0.939064558629776,0.9250829777145566,0.16358463726884775,0.939064558629776,0.13636363636363635,0.7170216574190085,0.47413962497375906,,mert_binary_20260919T110741Z
2,0,1.0,0.12422360248447206,0.9321475625823451,0.9282296650717703,0.13636363636363635,0.9321475625823451,0.12422360248447206,0.7370521904001597,0.8673991659888998,,mert_binary_20260919T110741Z
3,0,10.0,0.1590909090909091,0.9194899303594956,0.9223026854605803,0.15433854907539113,0.9194899303594956,0.1590909090909091,0.6873022151898734,1.4056565830251202,,mert_binary_20260919T110741Z
4,0,100.0,0.1590909090909091,0.90918501788067,0.9166666666666665,0.17496443812233287,0.90918501788067,0.1590909090909091,0.6873022151898734,1.480979916988872,,mert_binary_20260919T110741Z
5,1,0.01,0.11363636363636363,0.9610389610389611,0.9426214492003965,0.13726884779516357,0.9610389610389611,0.11363636363636363,0.7498576039491172,0.2229030829621479,,mert_binary_20260919T110741Z
6,1,0.1,0.13636363636363635,0.9487577639751553,0.9382085434717014,0.1458036984352774,0.9487577639751553,0.13636363636363635,0.7170216574190085,0.47473424999043345,,mert_binary_20260919T110741Z
7,1,1.0,0.13636363636363635,0.9417466591379634,0.9280572438467176,0.14393939393939395,0.9417466591379634,0.13636363636363635,0.7170216574190085,0.8084416249766946,,mert_binary_20260919T110741Z
8,1,10.0,0.13636363636363635,0.931347637869377,0.9144090262511315,0.16358463726884775,0.931347637869377,0.13636363636363635,0.7170216574190085,1.1304682500194758,,mert_binary_20260919T110741Z
9,1,100.0,0.13636363636363635,0.9293478260869564,0.9017172076382602,0.15078236130867706,0.9293478260869564,0.13636363636363635,0.7170216574190085,0.8209725830238312,,mert_binary_20260919T110741Z
10,2,0.01,0.10766045548654246,0.9595332204027857,0.9398573214362689,0.13636363636363635,0.9595332204027857,0.10766045548654246,0.7578769193567887,0.21132262505125254,,mert_binary_20260919T110741Z
11,2,0.1,0.11363636363636363,0.9521456804065499,0.9385102806155438,0.14393939393939395,0.9521456804065499,0.11363636363636363,0.7498576039491172,0.3538077500415966,,mert_binary_20260919T110741Z
12,2,1.0,0.11363636363636363,0.9479107848673066,0.9339087891719471,0.15151515151515152,0.9479107848673066,0.11363636363636363,0.7498576039491172,0.7542572919046506,,mert_binary_20260919T110741Z
13,2,10.0,0.10559006211180122,0.9441934876717485,0.9292695805853701,0.15151515151515152,0.9441934876717485,0.10559006211180122,0.7606099935107073,0.6895737500162795,,mert_binary_20260919T110741Z
14,2,100.0,0.10559006211180122,0.9361707133446263,0.9083635070477176,0.15007112375533427,0.9361707133446263,0.10559006211180122,0.7606099935107073,0.5191600000252947,,mert_binary_20260919T110741Z
15,3,0.01,0.11363636363636363,0.9546866177300959,0.9347547308073623,0.11363636363636363,0.9546866177300959,0.11363636363636363,0.7498576039491172,0.22453329199925065,,mert_binary_20260919T110741Z
16,3,0.1,0.09090909090909091,0.9490871447393187,0.9355198499935342,0.12878787878787878,0.9490871447393187,0.09090909090909091,0.7865820734341253,0.35108491708524525,,mert_binary_20260919T110741Z
17,3,1.0,0.11363636363636363,0.9453698475437605,0.9310153454890298,0.14393939393939395,0.9453698475437605,0.11363636363636363,0.7498576039491172,0.6722057089209557,,mert_binary_20260919T110741Z
18,3,10.0,0.13636363636363635,0.9357001693958216,0.9223565670934093,0.14393939393939395,0.9357001693958216,0.13636363636363635,0.7170216574190085,0.5558946669334546,,mert_binary_20260919T110741Z
19,3,100.0,0.1590909090909091,0.9252776209297948,0.9025065735592052,0.16500711237553345,0.9252776209297948,0.1590909090909091,0.6873022151898734,0.3473017079522833,,mert_binary_20260919T110741Z
20,4,0.01,0.06004140786749479,0.9652738565782043,0.9487208500366394,0.09090909090909091,0.9652738565782043,0.06004140786749479,0.8426278462112728,0.18296620808541775,,mert_binary_20260919T110741Z
21,4,0.1,0.06818181818181818,0.9607095802747977,0.9443995430837537,0.09886201991465149,0.9607095802747977,0.06818181818181818,0.8282268578878749,0.290502457995899,,mert_binary_20260919T110741Z
22,4,1.0,0.12215320910973082,0.9448522492000753,0.9375996810207338,0.10606060606060606,0.9448522492000753,0.12215320910973082,0.739560168025698,0.40244304202497005,,mert_binary_20260919T110741Z
23,4,10.0,0.12008281573498969,0.9403585544889893,0.9358161989740937,0.11237553342816498,0.9403585544889893,0.12008281573498969,0.7420941017454732,0.40227824996691197,,mert_binary_20260919T110741Z
