segment_id,track_id,original_audio_id,label,score,run_id,model,variant,split,threshold,prediction
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.032728289777650764,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.1938868569532793,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,0,0.2565844868840153,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000039,sample_00013,Agora - Malaventura,0,0.41481789815866266,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000040,sample_00013,Agora - Malaventura,0,0.8125002724820373,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,1
seg_000041,sample_00013,Agora - Malaventura,0,0.4975578639036981,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,0,0.008506592355420233,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,0,0.1785432441135987,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,0,0.19821502384911993,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000129,sample_00043,CopperNickle - UncleBibby,0,0.3904165143233484,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000130,sample_00043,CopperNickle - UncleBibby,0,0.5787743774273034,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,1
seg_000131,sample_00043,CopperNickle - UncleBibby,0,0.14384570747955178,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000141,sample_00047,Daylight Savings - My brother Daniel,0,0.3695616361568525,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000142,sample_00047,Daylight Savings - My brother Daniel,0,0.5157396435170382,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000143,sample_00047,Daylight Savings - My brother Daniel,0,0.8050671915105561,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,1
seg_000177,sample_00059,Empty Pockets - Pete Prodoehl,0,0.13239297607435532,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000178,sample_00059,Empty Pockets - Pete Prodoehl,0,0.5324041624376074,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
seg_000179,sample_00059,Empty Pockets - Pete Prodoehl,0,0.1529096438541816,classical_20260919T110356Z,LogisticRegression,optimized,val,0.5676900245181252,0
