track_id,original_audio_id,label,score,n_segments,prediction,run_id,model,variant,split,threshold
sample_00002,2 (Wasn't There) - Isle of Pine,0,-0.33309971118426557,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00013,Agora - Malaventura,0,0.045666016696832866,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00027,Beyond Luxury - Mors Ontologica,0,-1.5864199178969347,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00043,CopperNickle - UncleBibby,0,0.3909790845919759,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00047,Daylight Savings - My brother Daniel,0,0.1165427211498679,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00059,Empty Pockets - Pete Prodoehl,0,-0.78906565240623,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00065,Evil Cannot Create - Caleb Lemond,0,-0.17701973369110421,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00067,Fear - Los Fancy Free,0,-0.9234299493788846,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,0,2.6257625956255004,3,1,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,0,-0.4962604805423887,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00095,I Fell - Mod Fun,0,-1.5445602978866422,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00099,If You're Ther - Nicola Ratti,0,-0.9672634355692752,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00114,Kumorizoranohajimarutokoro - Hosomi,0,-2.1073023453464974,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00128,Lights Up - Pipe Choir,0,-1.1231126131846363,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00133,Loved Ones - Rowan Box,0,0.06630725575726466,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00136,March of the GPA Mechanics - [t]ghost,0,0.0892655783593781,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00142,Morning Bell - Nihilore,0,-1.1436400757171825,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00147,My Body Is A Weapon (Compromise Edit) - Silence is full of birds,0,-1.868144287388187,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
sample_00151,New Life (take 1) - Bird Names,0,-1.7342673327610936,3,0,classical_20260919T110356Z,RBF-SVM,optimized,val,0.6615054850320587
